,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
896,AB896,Low (A) ,76,1,4,Floor,['Low (A) '],1,0
898,AB898,Wicks (A) ,78,1,2,Floor,['Wicks (A) '],1,0
899,AB899,Wood (A) ,75,1,5,Floor,['Wood (A) '],1,0
901,AB901,Gipson (A) ,42,27,11,Floor,['Gipson (A) '],1,0
907,AB907,Grayson (A) ,74,1,6,Floor,['Grayson (A) '],1,0
911,AB911,Rodriguez (A) ,76,1,4,Floor,['Rodriguez (A) '],1,0
912,AB912,Muratsuchi (A) ,75,1,5,Floor,['Muratsuchi (A) '],1,0
914,AB914,Holden (A) ,75,1,5,Floor,['Holden (A) '],1,0
916,AB916,Muratsuchi (A) ,76,1,4,Floor,['Muratsuchi (A) '],1,0
917,AB917,Reyes (A) ,71,1,9,Floor,['Reyes (A) '],1,0
919,AB919,Petrie-Norris (A) ,78,1,2,Floor,['Petrie-Norris (A) '],1,0
920,AB920,Petrie-Norris (A) ,67,1,12,Floor,['Petrie-Norris (A) '],1,0
922,AB922,Burke (A) ,68,1,12,Floor,['Burke (A) '],1,0
923,AB923,Wicks (A) ,77,1,3,Floor,['Wicks (A) '],1,0
925,AB925,Gloria (A) ,76,1,4,Floor,['Gloria (A) '],1,0
926,AB926,O'Donnell (A) ,78,1,2,Floor,"[""O'Donnell (A) ""]",1,0
927,AB927,Jones-Sawyer (A) ,62,2,16,Floor,['Jones-Sawyer (A) '],1,0
929,AB929,Luz Rivas (A) ,77,1,3,Floor,['Luz Rivas (A) '],0,0
930,AB930,Gloria (A) ,76,1,4,Floor,['Gloria (A) '],1,0
931,AB931,Boerner Horvath (A) ,58,11,11,Floor,['Boerner Horvath (A) '],0,0
932,AB932,Low (A) ,75,1,5,Floor,['Low (A) '],1,0
933,AB933,Petrie-Norris (A) ,75,1,5,Floor,['Petrie-Norris (A) '],1,0
936,AB936,Robert Rivas (A) ,45,19,16,Floor,['Robert Rivas (A) '],0,0
942,AB942,Weber (A) ,72,1,8,Floor,['Weber (A) '],1,0
943,AB943,Chiu (A) ,75,1,5,Floor,['Chiu (A) '],1,0
944,AB944,Quirk (A) ,66,1,14,Floor,['Quirk (A) '],1,0
945,AB945,McCarty (A) ,75,1,5,Floor,['McCarty (A) '],1,0
948,AB948,Kalra (A) ,77,1,3,Floor,['Kalra (A) '],1,0
949,AB949,Medina (A) ,74,1,6,Floor,['Medina (A) '],1,0
954,AB954,Wood (A) ,74,1,6,Floor,['Wood (A) '],1,0
955,AB955,Gipson (A) ,77,1,3,Floor,['Gipson (A) '],1,0
