,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1328,AB1328,Holden (A) ,47,24,9,Floor,['Holden (A) '],1,0
1331,AB1331,Bonta (A) ,49,24,7,Floor,['Bonta (A) '],1,0
1336,AB1336,Smith (A) ,76,1,4,Floor,['Smith (A) '],1,0
1340,AB1340,"Chiu (A) , Bauer-Kahan (A) , Berman (A) , Eggman (A) , Low (A) , McCarty (A) ",60,12,8,Floor,"['Chiu (A) ', ' Bauer-Kahan (A) ', ' Berman (A) ', ' Eggman (A) ', ' Low (A) ', ' McCarty (A) ']",6,0
1341,AB1341,"Berman (A) , Bauer-Kahan (A) , Chiu (A) , Eggman (A) , Low (A) , McCarty (A) ",77,1,3,Floor,"['Berman (A) ', ' Bauer-Kahan (A) ', ' Chiu (A) ', ' Eggman (A) ', ' Low (A) ', ' McCarty (A) ']",6,0
1342,AB1342,"Low (A) , Bauer-Kahan (A) , Berman (A) , Chiu (A) , Eggman (A) , McCarty (A) ",62,14,4,Floor,"['Low (A) ', ' Bauer-Kahan (A) ', ' Berman (A) ', ' Chiu (A) ', ' Eggman (A) ', ' McCarty (A) ']",6,0
1343,AB1343,"Eggman (A) , Bauer-Kahan (A) , Berman (A) , Chiu (A) , Low (A) , McCarty (A) ",66,5,9,Floor,"['Eggman (A) ', ' Bauer-Kahan (A) ', ' Berman (A) ', ' Chiu (A) ', ' Low (A) ', ' McCarty (A) ']",6,0
1344,AB1344,"Bauer-Kahan (A) , Berman (A) , Chiu (A) , Eggman (A) , Low (A) , McCarty (A) ",74,1,6,Floor,"['Bauer-Kahan (A) ', ' Berman (A) ', ' Chiu (A) ', ' Eggman (A) ', ' Low (A) ', ' McCarty (A) ']",6,0
1345,AB1345,"McCarty (A) , Bauer-Kahan (A) , Berman (A) , Chiu (A) , Eggman (A) , Low (A) ",69,1,11,Floor,"['McCarty (A) ', ' Bauer-Kahan (A) ', ' Berman (A) ', ' Chiu (A) ', ' Eggman (A) ', ' Low (A) ']",6,0
1346,AB1346,"Medina (A) , Bauer-Kahan (A) , Berman (A) , Chiu (A) , Eggman (A) , Low (A) , McCarty (A) ",77,1,3,Floor,"['Medina (A) ', ' Bauer-Kahan (A) ', ' Berman (A) ', ' Chiu (A) ', ' Eggman (A) ', ' Low (A) ', ' McCarty (A) ']",7,0
1349,AB1349,Obernolte (A) ,78,1,2,Floor,['Obernolte (A) '],0,1
1351,AB1351,Lackey (A) ,78,1,2,Floor,['Lackey (A) '],0,1
1352,AB1352,Waldron (A) ,74,1,6,Floor,['Waldron (A) '],0,1
1353,AB1353,Wicks (A) ,52,18,10,Floor,['Wicks (A) '],1,0
1354,AB1354,Gipson (A) ,64,8,8,Floor,['Gipson (A) '],1,0
1355,AB1355,Chau (A) ,76,1,4,Floor,['Chau (A) '],1,0
1357,AB1357,Quirk (A) ,72,1,8,Floor,['Quirk (A) '],1,0
1360,AB1360,Ting (A) ,44,25,11,Floor,['Ting (A) '],1,0
1362,AB1362,O'Donnell (A) ,76,1,4,Floor,"[""O'Donnell (A) ""]",1,0
1365,AB1365,Committee on Veterans Affairs (A)  - (),78,1,2,Floor,['Committee on Veterans Affairs (A)  - ()'],0,0
1366,AB1366,Gonzalez (A) ,64,6,10,Floor,['Gonzalez (A) '],1,0
1370,AB1370,Chiu (A) ,74,1,6,Floor,['Chiu (A) '],0,0
1372,AB1372,Grayson (A) ,76,1,4,Floor,['Grayson (A) '],0,0
1373,AB1373,Patterson (A) ,77,1,3,Floor,['Patterson (A) '],0,0
1376,AB1376,"Ramos (A) , Reyes (A) ",74,1,6,Floor,"['Ramos (A) ', ' Reyes (A) ']",0,0
1377,AB1377,Wicks (A) ,78,1,2,Floor,['Wicks (A) '],0,0
1379,AB1379,Quirk (A) ,74,1,6,Floor,['Quirk (A) '],0,0
1380,AB1380,Obernolte (A) ,77,1,3,Floor,['Obernolte (A) '],0,0
1382,AB1382,Aguiar-Curry (A) ,78,1,2,Floor,['Aguiar-Curry (A) '],0,0
1383,AB1383,McCarty (A) ,78,1,2,Floor,['McCarty (A) '],0,0
1385,AB1385,Santiago (A) ,61,15,4,Floor,['Santiago (A) '],0,0
1387,AB1387,Wood (A) ,78,1,2,Floor,['Wood (A) '],0,0
1390,AB1390,Mark Stone (A) ,54,19,7,Floor,['Mark Stone (A) '],0,0
1391,AB1391,Bonta (A) ,76,1,4,Floor,['Bonta (A) '],0,0
1392,AB1392,Mullin (A) ,76,1,4,Floor,['Mullin (A) '],0,0
1393,AB1393,"Weber (A) , Arambula (A) ",78,1,2,Floor,"['Weber (A) ', ' Arambula (A) ']",0,0
1394,AB1394,Daly (A) ,72,2,6,Floor,['Daly (A) '],0,0
1395,AB1395,Cunningham (A) ,44,6,30,Floor,['Cunningham (A) '],0,0
1396,AB1396,Obernolte (A) ,76,1,4,Floor,['Obernolte (A) '],0,0
1399,AB1399,Bloom (A) ,48,18,14,Floor,['Bloom (A) '],0,0
1400,AB1400,Kamlager-Dove (A) ,73,1,7,Floor,['Kamlager-Dove (A) '],0,0
1403,AB1403,Carrillo (A) ,57,18,5,Floor,['Carrillo (A) '],0,0
1404,AB1404,Santiago (A) ,76,1,4,Floor,['Santiago (A) '],0,0
1406,AB1406,O'Donnell (A) ,77,1,3,Floor,"[""O'Donnell (A) ""]",0,0
1407,AB1407,Friedman (A) ,71,1,9,Floor,['Friedman (A) '],0,0
1410,AB1410,"Quirk-Silva (A) , O'Donnell (A) ",78,1,2,Floor,"['Quirk-Silva (A) ', "" O'Donnell (A) ""]",0,0
1413,AB1413,Gloria (A) ,47,26,7,Floor,['Gloria (A) '],0,0
1414,AB1414,Friedman (A) ,76,1,4,Floor,['Friedman (A) '],0,0
1415,AB1415,Friedman (A) ,52,20,8,Floor,['Friedman (A) '],0,0
1416,AB1416,Cooley (A) ,47,17,16,Floor,['Cooley (A) '],0,0
1417,AB1417,Blanca Rubio (A) ,66,6,8,Floor,['Blanca Rubio (A) '],0,0
1420,AB1420,Obernolte (A) ,69,1,10,Floor,['Obernolte (A) '],0,0
1421,AB1421,Bauer-Kahan (A) ,75,1,5,Floor,['Bauer-Kahan (A) '],0,0
1423,AB1423,Wicks (A) ,51,10,19,Floor,['Wicks (A) '],0,0
1424,AB1424,Berman (A) ,75,1,4,Floor,['Berman (A) '],0,0
1428,AB1428,Calderon (A) ,76,1,4,Floor,['Calderon (A) '],0,0
1432,AB1432,Dahle (A) ,76,1,4,Floor,['Dahle (A) '],0,0
1435,AB1435,Nazarian (A) ,78,1,2,Floor,['Nazarian (A) '],0,0
1436,AB1436,Mark Stone (A) ,78,1,2,Floor,['Mark Stone (A) '],0,0
1437,AB1437,Chen (A) ,78,1,2,Floor,['Chen (A) '],0,0
1440,AB1440,Levine (A) ,48,21,11,Floor,['Levine (A) '],0,0
1442,AB1442,Luz Rivas (A) ,76,1,4,Floor,['Luz Rivas (A) '],0,0
1443,AB1443,Maienschein (A) ,78,1,2,Floor,['Maienschein (A) '],0,0
1451,AB1451,Low (A) ,56,19,5,Floor,['Low (A) '],0,0
1452,AB1452,O'Donnell (A) ,76,1,4,Floor,"[""O'Donnell (A) ""]",0,0
1454,AB1454,Jones-Sawyer (A) ,76,1,4,Floor,['Jones-Sawyer (A) '],0,0
1456,AB1456,Kiley (A) ,77,1,3,Floor,['Kiley (A) '],0,0
1457,AB1457,Reyes (A) ,65,2,13,Floor,['Reyes (A) '],0,0
1459,AB1459,Arambula (A) ,60,17,3,Floor,['Arambula (A) '],0,0
1460,AB1460,Weber (A) ,59,17,4,Floor,['Weber (A) '],0,0
1464,AB1464,Gray (A) ,78,1,2,Floor,['Gray (A) '],0,0
1466,AB1466,Irwin (A) ,77,1,3,Floor,['Irwin (A) '],0,0
1467,AB1467,"Salas (A) , Low (A) ",76,1,4,Floor,"['Salas (A) ', ' Low (A) ']",0,0
1472,AB1472,Mark Stone (A) ,75,1,5,Floor,['Mark Stone (A) '],0,0
1473,AB1473,Gray (A) ,76,1,4,Floor,['Gray (A) '],0,0
1475,AB1475,Bauer-Kahan (A) ,76,1,4,Floor,['Bauer-Kahan (A) '],0,0
1477,AB1477,Gloria (A) ,58,15,7,Floor,['Gloria (A) '],0,0
1478,AB1478,Carrillo (A) ,44,21,15,Floor,['Carrillo (A) '],0,0
1482,AB1482,Chiu (A) ,43,31,6,Floor,['Chiu (A) '],0,0
1483,AB1483,Grayson (A) ,77,1,3,Floor,['Grayson (A) '],0,0
1484,AB1484,Grayson (A) ,74,1,6,Floor,['Grayson (A) '],0,0
1485,AB1485,Wicks (A) ,72,1,8,Floor,['Wicks (A) '],0,0
1486,AB1486,Ting (A) ,53,20,7,Floor,['Ting (A) '],0,0
1487,AB1487,Chiu (A) ,45,21,14,Floor,['Chiu (A) '],0,0
1492,AB1492,Boerner Horvath (A) ,76,1,4,Floor,['Boerner Horvath (A) '],0,0
1493,AB1493,Ting (A) ,76,1,4,Floor,['Ting (A) '],0,0
1494,AB1494,Aguiar-Curry (A) ,77,1,3,Floor,['Aguiar-Curry (A) '],0,0
1497,AB1497,Holden (A) ,74,1,6,Floor,['Holden (A) '],0,0
1500,AB1500,Carrillo (A) ,66,1,14,Floor,['Carrillo (A) '],0,0
1501,AB1501,Low (A) ,66,1,14,Floor,['Low (A) '],0,0
1505,AB1505,"O'Donnell (A) , Bonta (A) , McCarty (A) , Smith (A) ",44,19,17,Floor,"[""O'Donnell (A) "", ' Bonta (A) ', ' McCarty (A) ', ' Smith (A) ']",0,0
1507,AB1507,"Smith (A) , McCarty (A) , O'Donnell (A) ",54,18,8,Floor,"['Smith (A) ', ' McCarty (A) ', "" O'Donnell (A) ""]",0,0
1509,AB1509,"Mullin (A) , Berman (A) ",63,1,17,Floor,"['Mullin (A) ', ' Berman (A) ']",0,0
1510,AB1510,Reyes (A) ,65,1,15,Floor,['Reyes (A) '],0,0
1511,AB1511,Bloom (A) ,78,1,2,Floor,['Bloom (A) '],0,0
1513,AB1513,Holden (A) ,74,1,6,Floor,['Holden (A) '],0,0
1516,AB1516,Friedman (A) ,74,1,5,Floor,['Friedman (A) '],0,0
1519,AB1519,Committee on Business and Professions (A)  - (),78,1,2,Floor,['Committee on Business and Professions (A)  - ()'],0,0
1520,AB1520,Committee on Business and Professions (A)  - (),78,1,2,Floor,['Committee on Business and Professions (A)  - ()'],0,0
1521,AB1521,Committee on Business and Professions (A)  - (),78,1,2,Floor,['Committee on Business and Professions (A)  - ()'],0,0
1522,AB1522,Committee on Business and Professions (A)  - (),78,1,2,Floor,['Committee on Business and Professions (A)  - ()'],0,0
1523,AB1523,Committee on Business and Professions (A)  - (),78,1,2,Floor,['Committee on Business and Professions (A)  - ()'],0,0
1529,AB1529,Low (A) ,73,1,7,Floor,['Low (A) '],0,0
1532,AB1532,Bauer-Kahan (A) ,76,1,4,Floor,['Bauer-Kahan (A) '],0,0
1535,AB1535,Carrillo (A) ,74,1,6,Floor,['Carrillo (A) '],0,0
1537,AB1537,Cunningham (A) ,76,1,4,Floor,['Cunningham (A) '],0,0
1538,AB1538,Weber (A) ,72,1,8,Floor,['Weber (A) '],0,0
1540,AB1540,Holden (A) ,75,1,5,Floor,['Holden (A) '],0,0
1541,AB1541,Gray (A) ,74,1,6,Floor,['Gray (A) '],0,0
1544,AB1544,"Gipson (A) , Gloria (A) ",68,3,9,Floor,"['Gipson (A) ', ' Gloria (A) ']",0,0
1548,AB1548,"Gabriel (A) , Maienschein (A) ",78,1,2,Floor,"['Gabriel (A) ', ' Maienschein (A) ']",0,0
1550,AB1550,Bonta (A) ,78,1,2,Floor,['Bonta (A) '],0,0
1554,AB1554,Gonzalez (A) ,76,1,4,Floor,['Gonzalez (A) '],0,0
1558,AB1558,Ramos (A) ,77,1,3,Floor,['Ramos (A) '],0,0
1560,AB1560,Friedman (A) ,77,1,3,Floor,['Friedman (A) '],0,0
1561,AB1561,Cristina Garcia (A) ,74,1,6,Floor,['Cristina Garcia (A) '],0,0
1563,AB1563,Santiago (A) ,66,4,10,Floor,['Santiago (A) '],0,0
1564,AB1564,Berman (A) ,73,1,7,Floor,['Berman (A) '],0,0
1573,AB1573,Holden (A) ,74,1,6,Floor,['Holden (A) '],0,0
1576,AB1576,Calderon (A) ,78,1,2,Floor,['Calderon (A) '],0,0
1578,AB1578,Luz Rivas (A) ,74,1,5,Floor,['Luz Rivas (A) '],0,0
1580,AB1580,Levine (A) ,77,1,3,Floor,['Levine (A) '],0,0
1583,AB1583,Eggman (A) ,78,1,2,Floor,['Eggman (A) '],0,0
1584,AB1584,Quirk (A) ,77,1,3,Floor,['Quirk (A) '],0,0
1587,AB1587,Obernolte (A) ,77,1,3,Floor,['Obernolte (A) '],0,0
1588,AB1588,"Gloria (A) , Gray (A) ",78,1,2,Floor,"['Gloria (A) ', ' Gray (A) ']",0,0
1590,AB1590,Blanca Rubio (A) ,61,3,16,Floor,['Blanca Rubio (A) '],0,0
1591,AB1591,Cooley (A) ,76,1,4,Floor,['Cooley (A) '],0,0
1593,AB1593,Reyes (A) ,55,18,7,Floor,['Reyes (A) '],0,0
1595,AB1595,"Committee on Education (A)  - (Assembly Members O’Donnell (Chair), Kiley (Vice Chair), Kalra, McCarty, Smith, and Weber)",76,1,4,Floor,"['Committee on Education (A)  - (Assembly Members O’Donnell (Chair)', ' Kiley (Vice Chair)', ' Kalra', ' McCarty', ' Smith', ' and Weber)']",0,0
1596,AB1596,"Committee on Environmental Safety and Toxic Materials (A)  - (Assembly Members Quirk (Chair), Melendez (Vice Chair), Arambula, Bauer-Kahan, Cristina Garcia, Holden, Mathis, and Muratsuchi)",77,1,3,Floor,"['Committee on Environmental Safety and Toxic Materials (A)  - (Assembly Members Quirk (Chair)', ' Melendez (Vice Chair)', ' Arambula', ' Bauer-Kahan', ' Cristina\xa0Garcia', ' Holden', ' Mathis', ' and Muratsuchi)']",0,0
1600,AB1600,Kalra (A) ,45,27,8,Floor,['Kalra (A) '],0,0
1602,AB1602,Low (A) ,55,18,7,Floor,['Low (A) '],0,0
1603,AB1603,Wicks (A) ,78,1,2,Floor,['Wicks (A) '],0,0
1605,AB1605,"Ting (A) , Bloom (A) ",51,18,11,Floor,"['Ting (A) ', ' Bloom (A) ']",0,0
1607,AB1607,Boerner Horvath (A) ,77,1,3,Floor,['Boerner Horvath (A) '],0,0
1611,AB1611,Chiu (A) ,48,9,23,Floor,['Chiu (A) '],0,0
1613,AB1613,O'Donnell (A) ,64,13,3,Floor,"[""O'Donnell (A) ""]",0,0
1614,AB1614,Gipson (A) ,78,1,2,Floor,['Gipson (A) '],0,0
1618,AB1618,Jones-Sawyer (A) ,55,19,6,Floor,['Jones-Sawyer (A) '],0,0
1622,AB1622,Carrillo (A) ,76,1,4,Floor,['Carrillo (A) '],0,0
1623,AB1623,"Robert Rivas (A) , O'Donnell (A) ",78,1,2,Floor,"['Robert Rivas (A) ', "" O'Donnell (A) ""]",0,0
1633,AB1633,Grayson (A) ,76,1,4,Floor,['Grayson (A) '],0,0
1638,AB1638,Obernolte (A) ,60,7,13,Floor,['Obernolte (A) '],0,0
1642,AB1642,Wood (A) ,67,2,11,Floor,['Wood (A) '],0,0
1643,AB1643,Eduardo Garcia (A) ,77,1,3,Floor,['Eduardo Garcia (A) '],0,0
1644,AB1644,Levine (A) ,77,1,3,Floor,['Levine (A) '],0,0
1645,AB1645,"Blanca Rubio (A) , Reyes (A) ",60,14,6,Floor,"['Blanca Rubio (A) ', ' Reyes (A) ']",0,0
1650,AB1650,Cooley (A) ,78,1,2,Floor,['Cooley (A) '],0,0
1652,AB1652,Wicks (A) ,63,10,7,Floor,['Wicks (A) '],0,0
1657,AB1657,Eduardo Garcia (A) ,76,1,4,Floor,['Eduardo Garcia (A) '],0,0
1658,AB1658,Carrillo (A) ,78,1,2,Floor,['Carrillo (A) '],0,0
1659,AB1659,Bloom (A) ,67,1,13,Floor,['Bloom (A) '],0,0
1662,AB1662,"Ramos (A) , Gloria (A) ",76,1,4,Floor,"['Ramos (A) ', ' Gloria (A) ']",0,0
1665,AB1665,Chau (A) ,77,1,3,Floor,['Chau (A) '],0,0
1666,AB1666,Reyes (A) ,74,1,6,Floor,['Reyes (A) '],0,0
1667,AB1667,Santiago (A) ,76,1,4,Floor,['Santiago (A) '],0,0
1668,AB1668,Carrillo (A) ,78,1,2,Floor,['Carrillo (A) '],0,0
1669,AB1669,Bonta (A) ,49,22,9,Floor,['Bonta (A) '],0,0
1671,AB1671,Berman (A) ,78,1,2,Floor,['Berman (A) '],0,0
1677,AB1677,Weber (A) ,54,20,6,Floor,['Weber (A) '],0,0
1680,AB1680,Limón (A) ,67,1,12,Floor,['Limón (A) '],0,0
1681,AB1681,Gonzalez (A) ,76,1,4,Floor,['Gonzalez (A) '],0,0
1684,AB1684,Maienschein (A) ,64,9,7,Floor,['Maienschein (A) '],0,0
1687,AB1687,"Jones-Sawyer (A) , Calderon (A) ",78,1,2,Floor,"['Jones-Sawyer (A) ', ' Calderon (A) ']",0,0
1688,AB1688,"Calderon (A) , Jones-Sawyer (A) ",78,1,2,Floor,"['Calderon (A) ', ' Jones-Sawyer (A) ']",0,0
1694,AB1694,O'Donnell (A) ,66,1,14,Floor,"[""O'Donnell (A) ""]",0,0
1695,AB1695,Carrillo (A) ,57,17,6,Floor,['Carrillo (A) '],0,0
1696,AB1696,"Chau (A) , Cervantes (A) ",78,1,2,Floor,"['Chau (A) ', ' Cervantes (A) ']",0,0
1699,AB1699,Levine (A) ,75,1,5,Floor,['Levine (A) '],0,0
1702,AB1702,Luz Rivas (A) ,78,1,2,Floor,['Luz Rivas (A) '],0,0
1703,AB1703,Bloom (A) ,78,1,2,Floor,['Bloom (A) '],0,0
1705,AB1705,Bonta (A) ,78,1,2,Floor,['Bonta (A) '],0,0
1707,AB1707,Berman (A) ,66,2,12,Floor,['Berman (A) '],0,0
1709,AB1709,Jones-Sawyer (A) ,74,1,6,Floor,['Jones-Sawyer (A) '],0,0
1710,AB1710,Wood (A) ,71,1,9,Floor,['Wood (A) '],0,0
1714,AB1714,Blanca Rubio (A) ,71,1,9,Floor,['Blanca Rubio (A) '],0,0
1718,AB1718,Levine (A) ,57,19,4,Floor,['Levine (A) '],0,0
1723,AB1723,Wood (A) ,76,1,4,Floor,['Wood (A) '],0,0
1725,AB1725,Carrillo (A) ,68,1,12,Floor,['Carrillo (A) '],0,0
1727,AB1727,Weber (A) ,78,1,2,Floor,['Weber (A) '],0,0
1729,AB1729,Smith (A) ,78,1,2,Floor,['Smith (A) '],0,0
1731,AB1731,Boerner Horvath (A) ,42,23,15,Floor,['Boerner Horvath (A) '],0,0
1735,AB1735,Bauer-Kahan (A) ,75,1,5,Floor,['Bauer-Kahan (A) '],0,0
1736,AB1736,Daly (A) ,76,1,4,Floor,['Daly (A) '],0,0
1737,AB1737,Obernolte (A) ,77,1,3,Floor,['Obernolte (A) '],0,0
1743,AB1743,Bloom (A) ,77,1,3,Floor,['Bloom (A) '],0,0
1747,AB1747,Gonzalez (A) ,56,14,10,Floor,['Gonzalez (A) '],0,0
1748,AB1748,Bonta (A) ,76,1,4,Floor,['Bonta (A) '],0,0
1751,AB1751,Chiu (A) ,78,1,2,Floor,['Chiu (A) '],0,0
1753,AB1753,Carrillo (A) ,57,17,6,Floor,['Carrillo (A) '],0,0
1754,AB1754,Jones-Sawyer (A) ,78,1,2,Floor,['Jones-Sawyer (A) '],0,0
1759,AB1759,Salas (A) ,78,1,2,Floor,['Salas (A) '],0,0
1763,AB1763,Chiu (A) ,72,1,8,Floor,['Chiu (A) '],0,0
1766,AB1766,Bloom (A) ,77,1,3,Floor,['Bloom (A) '],0,0
1767,AB1767,Ramos (A) ,78,1,2,Floor,['Ramos (A) '],0,0
1768,AB1768,Carrillo (A) ,61,12,7,Floor,['Carrillo (A) '],0,0
1770,AB1770,Frazier (A) ,78,1,2,Floor,['Frazier (A) '],0,0
1774,AB1774,Bonta (A) ,78,1,2,Floor,['Bonta (A) '],0,0
1779,AB1779,Daly (A) ,76,1,4,Floor,['Daly (A) '],0,0
1780,AB1780,Carrillo (A) ,76,1,4,Floor,['Carrillo (A) '],0,0
1782,AB1782,Chau (A) ,49,18,13,Floor,['Chau (A) '],0,0
1783,AB1783,Robert Rivas (A) ,59,11,10,Floor,['Robert Rivas (A) '],0,0
1784,AB1784,"Santiago (A) , Chiu (A) , Gonzalez (A) ",60,12,8,Floor,"['Santiago (A) ', ' Chiu (A) ', ' Gonzalez (A) ']",0,0
1788,AB1788,Bloom (A) ,49,16,15,Floor,['Bloom (A) '],0,0
1790,AB1790,Wicks (A) ,70,1,10,Floor,['Wicks (A) '],0,0
1795,AB1795,Kamlager-Dove (A) ,43,22,15,Floor,['Kamlager-Dove (A) '],0,0
1800,AB1800,Committee on Agriculture (A)  - (),76,1,4,Floor,['Committee on Agriculture (A)  - ()'],0,0
1801,AB1801,Committee on Agriculture (A)  - (),76,2,2,Floor,['Committee on Agriculture (A)  - ()'],0,0
1802,AB1802,"Committee on Health (A)  - (Assembly Members Wood (Chair), Mayes (Vice Chair), Aguiar-Curry, Bigelow, Bonta, Carrillo, Flora, Limón, Nazarian, Rodriguez, Santiago, and Waldron)",74,1,6,Floor,"['Committee on Health (A)  - (Assembly Members Wood (Chair)', ' Mayes (Vice Chair)', ' Aguiar-Curry', ' Bigelow', ' Bonta', ' Carrillo', ' Flora', ' Limón', ' Nazarian', ' Rodriguez', ' Santiago', ' and Waldron)']",0,0
1803,AB1803,"Committee on Health (A)  - (Assembly Members Wood (Chair), Mayes (Vice Chair), Aguiar-Curry, Bigelow, Bonta, Carrillo, Flora, Limón, Nazarian, Rodriguez, Santiago, and Waldron)",76,1,4,Floor,"['Committee on Health (A)  - (Assembly Members Wood (Chair)', ' Mayes (Vice Chair)', ' Aguiar-Curry', ' Bigelow', ' Bonta', ' Carrillo', ' Flora', ' Limón', ' Nazarian', ' Rodriguez', ' Santiago', ' and Waldron)']",0,0
1804,AB1804,Committee on Labor and Employment (A)  - (),76,1,4,Floor,['Committee on Labor and Employment (A)  - ()'],0,0
1805,AB1805,Committee on Labor and Employment (A)  - (),62,11,7,Floor,['Committee on Labor and Employment (A)  - ()'],0,0
1808,AB1808,"Committee on Jobs, Economic Development, and the Economy (A)  - (Assembly Members Cervantes (Chair), Cunningham (Vice Chair), Chau, Chen, Ramos, Luz Rivas, and Smith)",77,1,3,Floor,"['Committee on Jobs', ' Economic Development', ' and the Economy (A)  - (Assembly Members Cervantes (Chair)', ' Cunningham (Vice Chair)', ' Chau', ' Chen', ' Ramos', ' Luz\xa0Rivas', ' and Smith)']",0,0
1809,AB1809,"Committee on Jobs, Economic Development, and the Economy (A)  - (Assembly Members Cervantes (Chair), Cunningham (Vice Chair), Chau, Chen, Ramos, Luz Rivas, and Smith)",78,1,2,Floor,"['Committee on Jobs', ' Economic Development', ' and the Economy (A)  - (Assembly Members Cervantes (Chair)', ' Cunningham (Vice Chair)', ' Chau', ' Chen', ' Ramos', ' Luz\xa0Rivas', ' and Smith)']",0,0
1810,AB1810,Committee on Transportation (A)  - (),74,1,6,Floor,['Committee on Transportation (A)  - ()'],0,0
1812,AB1812,Committee on Insurance (A)  - (),76,1,4,Floor,['Committee on Insurance (A)  - ()'],0,0
1813,AB1813,Committee on Insurance (A)  - (),74,1,6,Floor,['Committee on Insurance (A)  - ()'],0,0
1814,AB1814,Committee on Insurance (A)  - (),76,1,4,Floor,['Committee on Insurance (A)  - ()'],0,0
1815,AB1815,Committee on Insurance (A)  - (),74,1,6,Floor,['Committee on Insurance (A)  - ()'],0,0
1816,AB1816,"Committee on Insurance (A)  - (Assembly Members Daly (Chair), Mayes (Vice Chair), Berman, Calderon, Chu, Cooley, Cooper, Frazier, Gipson, Grayson, and Kamlager-Dove)",76,1,4,Floor,"['Committee on Insurance (A)  - (Assembly Members Daly (Chair)', ' Mayes (Vice Chair)', ' Berman', ' Calderon', ' Chu', ' Cooley', ' Cooper', ' Frazier', ' Gipson', ' Grayson', ' and Kamlager-Dove)']",0,0
1818,AB1818,"Committee on Judiciary (A)  - (Assembly Members Mark Stone (Chair), Gallagher (Vice Chair), Chau, Chiu, Gonzalez, Holden, Kalra, Kiley, Obernolte, Petrie-Norris, and Reyes)",78,1,2,Floor,"['Committee on Judiciary (A)  - (Assembly Members Mark\xa0Stone (Chair)', ' Gallagher (Vice Chair)', ' Chau', ' Chiu', ' Gonzalez', ' Holden', ' Kalra', ' Kiley', ' Obernolte', ' Petrie-Norris', ' and Reyes)']",0,0
1819,AB1819,"Committee on Judiciary (A)  - (Assembly Members Mark Stone (Chair), Gallagher (Vice Chair), Chau, Chiu, Gonzalez, Holden, Kalra, Kiley, Maienschein, Obernolte, Petrie-Norris, and Reyes)",77,1,3,Floor,"['Committee on Judiciary (A)  - (Assembly Members Mark\xa0Stone (Chair)', ' Gallagher (Vice Chair)', ' Chau', ' Chiu', ' Gonzalez', ' Holden', ' Kalra', ' Kiley', ' Maienschein', ' Obernolte', ' Petrie-Norris', ' and Reyes)']",0,0
1820,AB1820,"Committee on Judiciary (A)  - (Assembly Members Mark Stone (Chair), Chau, Chiu, Gonzalez, Holden, Kalra, Obernolte, Petrie-Norris, and Reyes)",77,1,3,Floor,"['Committee on Judiciary (A)  - (Assembly Members Mark\xa0Stone (Chair)', ' Chau', ' Chiu', ' Gonzalez', ' Holden', ' Kalra', ' Obernolte', ' Petrie-Norris', ' and Reyes)']",0,0
1821,AB1821,"Committee on Judiciary (A)  - (Assembly Members Mark Stone (Chair), Chau, Chiu, Gonzalez, Holden, Kalra, Petrie-Norris, and Reyes)",59,17,4,Floor,"['Committee on Judiciary (A)  - (Assembly Members Mark\xa0Stone (Chair)', ' Chau', ' Chiu', ' Gonzalez', ' Holden', ' Kalra', ' Petrie-Norris', ' and Reyes)']",0,0
1823,AB1823,"Committee on Natural Resources (A)  - (Assembly Members Friedman (Chair), Flora (Vice Chair), Chau, Eggman, Cristina Garcia, Limón, Mathis, McCarty, Muratsuchi, and Mark Stone)",77,1,3,Floor,"['Committee on Natural Resources (A)  - (Assembly Members Friedman (Chair)', ' Flora (Vice Chair)', ' Chau', ' Eggman', ' Cristina\xa0Garcia', ' Limón', ' Mathis', ' McCarty', ' Muratsuchi', ' and Mark\xa0Stone)']",0,0
1825,AB1825,"Committee on Governmental Organization (A)  - (Assembly Members Gray (Chair), Bigelow (Vice Chair), Aguiar-Curry, Berman, Bonta, Brough, Cooley, Cooper, Daly, Gipson, Jones-Sawyer, Low, Melendez, Quirk-Silva, and Salas))",74,1,6,Floor,"['Committee on Governmental Organization (A)  - (Assembly Members Gray (Chair)', ' Bigelow (Vice Chair)', ' Aguiar-Curry', ' Berman', ' Bonta', ' Brough', ' Cooley', ' Cooper', ' Daly', ' Gipson', ' Jones-Sawyer', ' Low', ' Melendez', ' Quirk-Silva', ' and Salas))']",0,0
1826,AB1826,"Committee on Governmental Organization (A)  - (Assembly Members Gray (Chair), Bigelow (Vice Chair), Aguiar-Curry, Berman, Bonta, Brough, Cooley, Cooper, Daly, Gallagher, Gipson, Jones-Sawyer, Low, Melendez, Quirk-Silva, and Salas))",76,1,4,Floor,"['Committee on Governmental Organization (A)  - (Assembly Members Gray (Chair)', ' Bigelow (Vice Chair)', ' Aguiar-Curry', ' Berman', ' Bonta', ' Brough', ' Cooley', ' Cooper', ' Daly', ' Gallagher', ' Gipson', ' Jones-Sawyer', ' Low', ' Melendez', ' Quirk-Silva', ' and Salas))']",0,0
