,District,Name,Party,Residence,First elected,Term limited,Notes,Primary %,General %,Last Name,Ayes,Nays,Abstentions
64,65,Sharon Quirk-Silva,Democratic,Fullerton,2016,2026,Previously served from 2012 to 2014.,,,Quirk-Silva,902,20,24
65,66,Al Muratsuchi,Democratic,Rolling Hills Estates,2016,2026,Previously served from 2012 to 2014.,,,Muratsuchi,895,7,42
66,67,Melissa Melendez,Republican,Lake Elsinore,2012,2024,,,,Melendez,644,247,59
67,68,Steven Choi,Republican,Irvine,2016,2028,,,,Choi,642,144,130
68,69,Tom Daly,Democratic,Anaheim,2012,2024,,,,Daly,889,8,49
69,70,Patrick O'Donnell,Democratic,Long Beach,2014,2026,,,,O'Donnell,923,8,28
70,71,Randy Voepel,Republican,Santee,2016,2028,,,,Voepel,615,213,110
71,72,Tyler Diep,Republican,Westminster,2018,2030,,,,Diep,778,79,130
72,73,Bill Brough,Republican,Dana Point,2014,2026,,,,Brough,632,205,90
73,74,Cottie Petrie-Norris,Democratic,Laguna Beach,2018,2030,,,,Petrie-Norris,925,31,18
74,75,Marie Waldron,Republican,Escondido,2012,2024,Minority Leader,,,Waldron,695,206,33
75,76,Tasha Boerner Horvath,Democratic,Encinitas,2018,2030,,,,Boerner Horvath,862,6,36
76,77,Brian Maienschein,Democratic,San Diego,2012,2024,"Changed party affiliation on January 24, 2019[8][9]",,,Maienschein,912,8,42
77,78,Todd Gloria,Democratic,San Diego,2016,2028,,,,Gloria,909,5,30
78,79,Shirley Weber,Democratic,San Diego,2012,2024,,,,Weber,930,2,20
79,80,Lorena Gonzalez,Democratic,San Diego,2013,2024,,,,Gonzalez,920,3,14
